,class,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat
15,edible,sunken,fibrous,gray,False,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,solitary,urban
16,edible,flat,fibrous,white,False,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,p,white,1,evanescent,brown,abundant,grasses
17,poisonous,convex,smooth,brown,True,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
18,poisonous,convex,scaly,white,True,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,urban
19,poisonous,convex,smooth,brown,True,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,urban
20,edible, bell,smooth,yellow,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
21,poisonous,convex,scaly,brown,True,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,grasses
22,edible, bell,scaly,yellow,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
23,edible, bell,scaly,white,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
24,edible, bell,smooth,white,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
25,poisonous,flat,smooth,white,True,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,grasses
26,edible,convex,scaly,yellow,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
27,edible,convex,scaly,white,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
28,edible,flat,fibrous,brown,False,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,solitary,urban
29,edible,convex,smooth,yellow,True,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,brown,several,woods
30,edible, bell,smooth,yellow,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
31,poisonous,convex,scaly,white,True,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,urban
32,edible,convex,scaly,yellow,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
33,edible,convex,scaly,brown,True,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,solitary,paths
34,edible, bell,scaly,yellow,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
35,edible,convex,fibrous,yellow,True,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,brown,several,woods
36,edible,sunken,fibrous,gray,False,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,several,urban
37,poisonous,convex,scaly,brown,True,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,urban
38,edible,convex,fibrous,yellow,True,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,brown,several,woods
39,edible, bell,smooth,yellow,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
40,edible, bell,scaly,yellow,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
41,edible,convex,scaly,yellow,True,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,solitary,paths
42,edible,convex,fibrous,brown,False,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,solitary,urban
43,poisonous,convex,scaly,white,True,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,grasses
44,edible,convex,smooth,yellow,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
45,edible,convex,scaly,white,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
46,edible,convex,scaly,yellow,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
47,edible,convex,smooth,white,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
48,edible,convex,scaly,yellow,True,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,scattered,paths
49,edible,flat,scaly,yellow,True,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,scattered,paths
50,edible,convex,scaly,brown,True,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,scattered,grasses
51,edible,convex,smooth,white,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
52,edible, bell,smooth,white,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
53,poisonous,convex,scaly,brown,True,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,urban
54,poisonous,convex,smooth,white,True,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,several,urban
55,edible, bell,scaly,yellow,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
56,edible,flat,fibrous,gray,False,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,p,white,1,evanescent,brown,abundant,grasses
57,edible, bell,smooth,white,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
58,edible,convex,smooth,yellow,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,grasses
59,edible,convex,scaly,brown,True,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,solitary,paths
60,edible,sunken,fibrous,gray,False,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,urban
61,edible, bell,scaly,yellow,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
62,edible, bell,smooth,yellow,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
63,edible, bell,scaly,yellow,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
64,edible, bell,scaly,white,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
65,edible,flat,smooth,brown,False,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,p,white,1,evanescent,black,abundant,grasses
66,edible,convex,smooth,white,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
67,edible,flat,scaly,yellow,True,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,scattered,grasses
68,edible,convex,scaly,yellow,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,grasses
69,edible,convex,fibrous,gray,False,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,urban
70,edible,flat,fibrous,yellow,True,anise,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,brown,several,woods
71,edible, bell,scaly,white,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
72,edible,flat,fibrous,yellow,True,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,brown,several,woods
73,edible,convex,scaly,brown,True,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,scattered,paths
74,edible, bell,smooth,yellow,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
75,edible,flat,smooth,yellow,True,anise,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,brown,several,woods
76,edible,convex,smooth,white,True,anise,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,purple,several,woods
77,edible,flat,scaly,brown,True,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,solitary,paths
78,poisonous,convex,scaly,brown,True,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,urban
79,edible,flat,scaly,brown,True,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,solitary,grasses
80,edible,convex,smooth,brown,False,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,p,white,1,evanescent,brown,scattered,grasses
81,poisonous,convex,scaly,white,True,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
82,edible,flat,fibrous,gray,False,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,solitary,urban
83,edible,convex,fibrous,gray,False,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,p,white,1,evanescent,brown,scattered,grasses
84,edible,convex,scaly,yellow,True,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,scattered,grasses
85,edible,convex,smooth,brown,False,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,p,white,1,evanescent,black,scattered,grasses
86,edible, bell,smooth,white,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
87,edible,convex,smooth,white,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
88,edible,flat,scaly,brown,True,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,solitary,grasses
89,edible,sunken,fibrous,brown,False,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,urban
90,edible,convex,fibrous,brown,False,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,solitary,urban
91,edible, bell,smooth,white,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
92,edible,convex,scaly,yellow,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
93,edible,convex,scaly,yellow,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
94,edible,convex,smooth,brown,False,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,p,white,1,evanescent,brown,abundant,grasses
95,edible,convex,smooth,white,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
96,edible,flat,scaly,brown,True,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,scattered,grasses
97,edible,convex,smooth,yellow,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,grasses
98,edible, bell,smooth,white,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
99,edible,convex,scaly,white,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
100,edible,convex,fibrous,brown,False,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,p,white,1,evanescent,black,scattered,grasses
101,edible, bell,smooth,yellow,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,grasses
102,edible,flat,scaly,yellow,True,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,scattered,grasses
103,edible,convex,scaly,yellow,True,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,solitary,paths
104,edible, bell,scaly,white,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
105,edible,convex,scaly,yellow,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
106,edible,convex,scaly,yellow,True,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,solitary,grasses
107,edible, bell,scaly,white,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
108,edible, bell,scaly,white,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
109,edible,convex,smooth,yellow,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
110,edible,convex,smooth,yellow,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,grasses
111,edible,sunken,fibrous,gray,False,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,solitary,urban
112,edible,convex,fibrous,white,True,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,purple,several,woods
113,edible,convex,smooth,yellow,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
114,poisonous,convex,scaly,white,True,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,urban
115,edible,convex,scaly,yellow,True,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,scattered,grasses
116,edible,sunken,fibrous,gray,False,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,solitary,urban
117,edible,convex,scaly,yellow,True,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,solitary,grasses
118,edible,convex,smooth,yellow,True,anise,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,purple,several,woods
119,edible,sunken,fibrous,brown,False,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,solitary,urban
120,poisonous,convex,smooth,white,True,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,several,grasses
121,edible,convex,scaly,white,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
122,poisonous,flat,scaly,brown,True,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,several,grasses
123,edible,flat,smooth,gray,False,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,p,white,1,evanescent,brown,abundant,grasses
124,edible,convex,smooth,yellow,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
125,edible,convex,smooth,white,False,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,p,white,1,evanescent,black,scattered,grasses
126,edible, bell,smooth,yellow,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
127,edible,flat,fibrous,gray,False,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,p,white,1,evanescent,brown,abundant,grasses
128,edible,convex,smooth,white,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,grasses
129,edible, bell,smooth,white,True,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
130,edible, bell,smooth,white,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
131,edible, bell,scaly,white,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
132,edible,flat,smooth,white,True,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,purple,several,woods
133,edible,convex,scaly,yellow,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
134,edible,flat,smooth,white,True,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,brown,several,woods
135,poisonous,convex,scaly,white,True,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,urban
136,edible,flat,fibrous,white,True,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,brown,several,woods
137,edible,convex,scaly,yellow,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
138,poisonous,convex,smooth,brown,True,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,grasses
139,edible, bell,smooth,yellow,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
140,edible,convex,scaly,brown,True,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,solitary,paths
141,edible, bell,scaly,yellow,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
142,edible,sunken,fibrous,brown,False,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,urban
143,edible,flat,scaly,brown,True,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,solitary,paths
144,edible,convex,scaly,yellow,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,grasses
145,edible,convex,fibrous,gray,False,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,p,white,1,evanescent,black,scattered,grasses
146,edible,flat,fibrous,white,False,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,p,white,1,evanescent,brown,abundant,grasses
147,edible,convex,scaly,yellow,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
148,edible, bell,smooth,yellow,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,grasses
149,edible, bell,scaly,white,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
150,edible,convex,scaly,white,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
151,edible,convex,smooth,brown,False,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,p,white,1,evanescent,brown,abundant,grasses
152,edible,convex,scaly,white,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
153,edible,sunken,fibrous,brown,False,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,several,urban
154,edible,convex,smooth,white,True,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,purple,several,woods
155,edible,convex,scaly,brown,True,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,scattered,grasses
156,edible, bell,scaly,yellow,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
157,edible,convex,scaly,white,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
158,edible, bell,scaly,white,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
159,edible, bell,smooth,yellow,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
160,edible, bell,smooth,yellow,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
161,edible, bell,scaly,yellow,True,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,grasses
162,edible,convex,fibrous,brown,False,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,solitary,urban
163,edible,flat,scaly,brown,True,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,solitary,grasses
164,edible,convex,scaly,white,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
165,edible,flat,scaly,yellow,True,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,solitary,paths
166,edible, bell,smooth,white,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
167,edible, bell,smooth,white,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,meadows
168,edible,convex,scaly,brown,True,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,solitary,grasses
169,edible, bell,smooth,white,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
170,edible,convex,fibrous,gray,False,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,solitary,urban
171,edible, bell,smooth,yellow,True,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
172,edible,convex,fibrous,yellow,True,anise,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,purple,several,woods
173,edible, bell,scaly,yellow,True,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
174,edible,flat,scaly,yellow,True,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,scattered,grasses
175,edible, bell,scaly,white,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
176,edible, bell,scaly,white,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,black,numerous,meadows
177,edible, bell,scaly,yellow,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,grasses
178,edible,convex,scaly,yellow,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
179,edible, bell,smooth,yellow,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
180,poisonous,convex,scaly,white,True,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,several,urban
181,edible,sunken,fibrous,brown,False,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,brown,solitary,urban
182,edible,flat,fibrous,brown,False,none,free,close,narrow,gray,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,several,urban
183,edible,convex,smooth,yellow,True,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
184,edible,flat,scaly,brown,True,almond,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,black,scattered,paths
185,poisonous,convex,scaly,white,True,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,scattered,grasses
186,edible, bell,smooth,white,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
187,edible,flat,fibrous,gray,False,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,p,white,1,pendant,black,several,urban
188,edible, bell,scaly,yellow,True,anise,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,grasses
189,edible,convex,scaly,brown,True,almond,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,p,white,1,pendant,brown,solitary,paths
190,edible,convex,fibrous,white,False,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,p,white,1,evanescent,black,scattered,grasses
191,edible,convex,smooth,white,True,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,brown,several,woods
192,edible, bell,smooth,white,True,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,scattered,meadows
193,edible,flat,smooth,yellow,True,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,p,white,1,pendant,brown,several,woods
194,edible,convex,smooth,yellow,True,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,p,white,1,pendant,brown,numerous,meadows
