,city_name,package,variety,date,origin,origin_district,item_size,color,unit_of_sale,repack,organic,price
18,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-22,MICHIGAN,,jumbo,,,N,False,147.375
19,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-22,MICHIGAN,,extra large,,,N,False,149.875
20,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-22,MICHIGAN,,medium large,,,N,False,152.375
21,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-22,MICHIGAN,,small,,,N,False,150.0
22,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-29,ALABAMA,,medium,,,N,False,142.5
23,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-29,MICHIGAN,,jumbo,,,N,False,147.375
24,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-29,MICHIGAN,,extra large,,,N,False,149.875
25,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-29,MICHIGAN,,medium large,,,N,False,152.375
26,ATLANTA,24 inch bins,HOWDEN TYPE,2016-10-29,MICHIGAN,,small,,,N,False,150.0
27,ATLANTA,24 inch bins,HOWDEN TYPE,2016-11-05,ALABAMA,,medium,,,N,False,142.5
28,ATLANTA,24 inch bins,HOWDEN TYPE,2016-11-05,MICHIGAN,,jumbo,,,N,False,147.375
29,ATLANTA,24 inch bins,HOWDEN TYPE,2016-11-05,MICHIGAN,,extra large,,,N,False,149.875
30,ATLANTA,24 inch bins,HOWDEN TYPE,2016-11-05,MICHIGAN,,medium large,,,N,False,152.375
31,ATLANTA,24 inch bins,HOWDEN TYPE,2016-11-05,MICHIGAN,,small,,,N,False,150.0
32,ATLANTA,36 inch bins,HOWDEN TYPE,2017-09-30,CANADA,,medium,,,N,False,150.0
33,ATLANTA,36 inch bins,HOWDEN TYPE,2017-09-30,MICHIGAN,,large,,,N,False,142.5
34,ATLANTA,36 inch bins,HOWDEN TYPE,2017-09-30,TENNESSEE,,large,,,N,False,140.0
35,ATLANTA,1 1/9 bushel cartons,PIE TYPE,2016-11-05,MICHIGAN,,small,,,N,False,14.75
36,ATLANTA,1 1/9 bushel cartons,PIE TYPE,2016-11-12,MICHIGAN,,small,,,N,False,14.75
37,ATLANTA,1 1/9 bushel cartons,PIE TYPE,2016-11-19,MICHIGAN,,small,,,N,False,14.75
38,ATLANTA,1 1/9 bushel cartons,PIE TYPE,2016-11-26,MICHIGAN,,small,,,N,False,14.75
39,ATLANTA,24 inch bins,PIE TYPE,2016-09-24,NORTH CAROLINA,,small,,,N,False,135.0
40,ATLANTA,24 inch bins,PIE TYPE,2016-10-01,NORTH CAROLINA,,small,,,N,False,135.0
41,ATLANTA,24 inch bins,PIE TYPE,2016-10-08,NORTH CAROLINA,,small,,,N,False,135.0
42,ATLANTA,24 inch bins,PIE TYPE,2016-10-15,NORTH CAROLINA,,small,,,N,False,135.0
43,ATLANTA,24 inch bins,PIE TYPE,2016-10-22,NORTH CAROLINA,,small,,,N,False,135.0
44,ATLANTA,24 inch bins,PIE TYPE,2016-10-29,NORTH CAROLINA,,small,,,N,False,135.0
45,ATLANTA,24 inch bins,PIE TYPE,2016-11-05,NORTH CAROLINA,,small,,,N,False,129.25
46,ATLANTA,24 inch bins,PIE TYPE,2016-11-12,NORTH CAROLINA,,small,,,N,False,129.25
47,ATLANTA,24 inch bins,PIE TYPE,2016-11-19,NORTH CAROLINA,,small,,,N,False,129.25
48,ATLANTA,24 inch bins,PIE TYPE,2016-11-26,NORTH CAROLINA,,small,,,N,False,129.25
49,ATLANTA,36 inch bins,PIE TYPE,2016-09-24,MICHIGAN,,small,,,N,False,248.0
50,ATLANTA,36 inch bins,PIE TYPE,2016-10-01,MICHIGAN,,small,,,N,False,248.0
51,ATLANTA,36 inch bins,PIE TYPE,2016-10-08,MICHIGAN,,small,,,N,False,248.0
52,ATLANTA,36 inch bins,PIE TYPE,2016-10-15,MICHIGAN,,small,,,N,False,248.0
53,ATLANTA,36 inch bins,PIE TYPE,2016-10-22,MICHIGAN,,small,,,N,False,248.0
54,ATLANTA,36 inch bins,PIE TYPE,2016-10-29,MICHIGAN,,small,,,N,False,248.0
55,ATLANTA,36 inch bins,PIE TYPE,2016-11-05,MICHIGAN,,small,,,N,False,248.0
56,ATLANTA,1 1/9 bushel cartons,MINIATURE FLAT TYPE,2017-09-30,TENNESSEE,,,,,N,False,16.9375
57,BALTIMORE,24 inch bins,,2017-04-29,,,large,,,E,False,275.0
58,BALTIMORE,24 inch bins,,2017-05-06,,,large,,,E,False,275.0
59,BALTIMORE,24 inch bins,HOWDEN TYPE,2016-09-24,DELAWARE,,medium,,,N,False,160.0
60,BALTIMORE,24 inch bins,HOWDEN TYPE,2016-09-24,VIRGINIA,,medium,,,N,False,160.0
61,BALTIMORE,24 inch bins,HOWDEN TYPE,2016-11-05,MARYLAND,,large,,,N,False,95.0
62,BALTIMORE,24 inch bins,HOWDEN TYPE,2016-11-12,MARYLAND,,large,,,N,False,95.0
63,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-09-24,MARYLAND,,medium,,,N,False,165.0
64,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-09-24,PENNSYLVANIA,,large,,,N,False,160.0
65,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-01,MARYLAND,,medium,,,N,False,165.0
66,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-01,PENNSYLVANIA,,large,,,N,False,160.0
67,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-08,MARYLAND,,medium,,,N,False,165.0
68,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-08,PENNSYLVANIA,,large,,,N,False,160.0
69,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-15,MARYLAND,,large,,,N,False,155.0
70,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-15,MARYLAND,,medium,,,N,False,160.0
71,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-22,MARYLAND,,large,,,N,False,155.0
72,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-22,MARYLAND,,medium,,,N,False,150.0
73,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-29,MARYLAND,,large,,,N,False,130.0
74,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-29,MARYLAND,,medium,,,N,False,145.0
75,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-10-29,MARYLAND,,small,,,N,False,130.0
76,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-11-05,MARYLAND,,extra large,,,N,False,125.0
77,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-11-05,MARYLAND,,large,,,N,False,115.0
78,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-11-05,MARYLAND,,medium,,,N,False,95.0
79,BALTIMORE,36 inch bins,HOWDEN TYPE,2016-11-12,MARYLAND,,large,,,N,False,105.0
80,BALTIMORE,36 inch bins,HOWDEN TYPE,2017-09-16,MARYLAND,,medium large,ORANGE,,N,False,160.0
81,BALTIMORE,36 inch bins,HOWDEN TYPE,2017-09-23,MARYLAND,,medium large,ORANGE,,N,False,160.0
82,BALTIMORE,36 inch bins,HOWDEN TYPE,2017-09-30,MARYLAND,,large,ORANGE,,N,False,155.0
83,BALTIMORE,36 inch bins,HOWDEN TYPE,2017-09-30,MARYLAND,,medium large,ORANGE,,N,False,155.0
84,BALTIMORE,24 inch bins,HOWDEN WHITE TYPE,2017-09-23,MARYLAND,,medium,,,N,False,170.0
85,BALTIMORE,24 inch bins,HOWDEN WHITE TYPE,2017-09-30,MARYLAND,,medium,,,N,False,180.0
86,BALTIMORE,24 inch bins,CINDERELLA,2017-06-03,,,extra large,,,E,False,380.0
87,BALTIMORE,24 inch bins,CINDERELLA,2017-06-10,,,extra large,,,E,False,380.0
88,BALTIMORE,24 inch bins,CINDERELLA,2017-06-17,,,extra large,,,E,False,380.0
89,BALTIMORE,24 inch bins,CINDERELLA,2017-08-19,MEXICO,,extra large,,,N,False,200.0
90,BALTIMORE,24 inch bins,CINDERELLA,2017-08-26,MEXICO,,extra large,,,N,False,275.0
91,BALTIMORE,24 inch bins,CINDERELLA,2017-09-02,MEXICO,,extra large,,,N,False,350.0
92,BALTIMORE,24 inch bins,CINDERELLA,2017-09-09,MARYLAND,,extra large,,,N,False,180.0
93,BALTIMORE,24 inch bins,CINDERELLA,2017-09-09,VIRGINIA,,extra large,,,N,False,200.0
94,BALTIMORE,24 inch bins,CINDERELLA,2017-09-16,MARYLAND,,extra large,,,N,False,190.0
95,BALTIMORE,24 inch bins,CINDERELLA,2017-09-16,VIRGINIA,,extra large,,,N,False,190.0
96,BALTIMORE,24 inch bins,CINDERELLA,2017-09-23,MARYLAND,,jumbo,,,N,False,340.0
97,BALTIMORE,24 inch bins,CINDERELLA,2017-09-23,MARYLAND,,extra large,,,N,False,245.0
98,BALTIMORE,24 inch bins,CINDERELLA,2017-09-23,VIRGINIA,,extra large,,,N,False,200.0
99,BALTIMORE,24 inch bins,CINDERELLA,2017-09-30,MARYLAND,,jumbo,,,N,False,340.0
100,BALTIMORE,24 inch bins,CINDERELLA,2017-09-30,MARYLAND,,extra large,,,N,False,245.0
101,BALTIMORE,24 inch bins,CINDERELLA,2017-09-30,VIRGINIA,,extra large,,,N,False,190.0
102,BALTIMORE,50 lb sacks,CINDERELLA,2017-08-12,COSTA RICA,,large,,,N,False,29.0
103,BALTIMORE,50 lb sacks,CINDERELLA,2017-08-12,MEXICO,,large,,,N,False,29.0
104,BALTIMORE,50 lb sacks,CINDERELLA,2017-08-19,COSTA RICA,,large,,,N,False,28.5
105,BALTIMORE,50 lb sacks,CINDERELLA,2017-08-26,COSTA RICA,,large,,,N,False,28.5
106,BALTIMORE,50 lb sacks,CINDERELLA,2017-08-26,FLORIDA,,medium,,,N,False,29.0
107,BALTIMORE,50 lb sacks,CINDERELLA,2017-09-02,FLORIDA,,medium,,,N,False,29.0
108,BALTIMORE,50 lb sacks,CINDERELLA,2017-09-09,VIRGINIA,,large,,,N,False,15.0
109,BALTIMORE,50 lb sacks,CINDERELLA,2017-09-16,MEXICO,,large,,,N,False,24.0
110,BALTIMORE,50 lb sacks,CINDERELLA,2017-09-16,VIRGINIA,,large,,,N,False,15.0
111,BALTIMORE,24 inch bins,FAIRYTALE,2016-09-24,MARYLAND,,extra large,,,N,False,255.0
112,BALTIMORE,24 inch bins,FAIRYTALE,2016-09-24,VIRGINIA,,extra large,,,N,False,255.0
113,BALTIMORE,24 inch bins,FAIRYTALE,2016-10-01,MARYLAND,,extra large,,,N,False,255.0
114,BALTIMORE,24 inch bins,FAIRYTALE,2016-10-01,VIRGINIA,,extra large,,,N,False,255.0
115,BALTIMORE,24 inch bins,FAIRYTALE,2016-10-08,MARYLAND,,extra large,,,N,False,247.5
116,BALTIMORE,24 inch bins,FAIRYTALE,2016-10-08,VIRGINIA,,extra large,,,N,False,255.0
117,BALTIMORE,24 inch bins,FAIRYTALE,2016-10-15,MARYLAND,,extra large,,,N,False,242.5
118,BALTIMORE,24 inch bins,FAIRYTALE,2016-10-22,MARYLAND,,extra large,,,N,False,235.0
119,BALTIMORE,24 inch bins,FAIRYTALE,2016-10-29,MARYLAND,,extra large,,,N,False,227.5
120,BALTIMORE,24 inch bins,FAIRYTALE,2016-10-29,VIRGINIA,,extra large,,,N,False,230.0
121,BALTIMORE,24 inch bins,FAIRYTALE,2016-11-05,MARYLAND,,extra large,,,N,False,215.0
122,BALTIMORE,24 inch bins,FAIRYTALE,2016-11-05,VIRGINIA,,extra large,,,N,False,215.0
123,BALTIMORE,24 inch bins,FAIRYTALE,2016-11-12,MARYLAND,,extra large,,,N,False,200.0
124,BALTIMORE,24 inch bins,FAIRYTALE,2016-11-19,MARYLAND,,extra large,,,N,False,200.0
125,BALTIMORE,24 inch bins,FAIRYTALE,2016-11-19,VIRGINIA,,extra large,,,N,False,215.0
126,BALTIMORE,24 inch bins,FAIRYTALE,2016-11-26,VIRGINIA,,extra large,,,N,False,210.0
127,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2016-09-24,DELAWARE,,medium,,,N,False,15.0
128,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2016-09-24,DELAWARE,,small,,,N,False,18.0
129,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2016-10-01,DELAWARE,,small,,,N,False,18.0
130,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2016-10-01,OHIO,,medium,,,N,False,17.0
131,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2016-10-08,DELAWARE,,,,,N,False,15.0
132,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2016-10-08,DELAWARE,,small,,,N,False,18.0
133,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2016-10-08,OHIO,,medium,,,N,False,17.0
134,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2016-10-08,PENNSYLVANIA,,,,,N,False,17.75
135,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2016-10-15,DELAWARE,,,,,N,False,15.0
136,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2016-10-15,OHIO,,medium,,,N,False,17.0
137,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2016-10-15,PENNSYLVANIA,,,,,N,False,17.75
138,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2016-10-22,DELAWARE,,,,,N,False,15.0
139,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2016-10-22,OHIO,,medium,,,N,False,17.0
140,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2016-10-22,PENNSYLVANIA,,,,,N,False,17.75
141,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2016-10-29,DELAWARE,,,,,N,False,15.0
142,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2016-10-29,OHIO,,medium,,,N,False,16.5
143,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2016-10-29,PENNSYLVANIA,,,,,N,False,17.0
144,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2017-09-16,MARYLAND,,medium,ORANGE,,N,False,18.0
145,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2017-09-23,DELAWARE,,medium,ORANGE,,N,False,16.0
146,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2017-09-23,MARYLAND,,medium,ORANGE,,N,False,18.0
147,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2017-09-23,PENNSYLVANIA,,medium,ORANGE,,N,False,16.0
148,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2017-09-30,DELAWARE,,medium,ORANGE,,N,False,16.0
149,BALTIMORE,1 1/9 bushel cartons,PIE TYPE,2017-09-30,PENNSYLVANIA,,medium,ORANGE,,N,False,16.0
150,BALTIMORE,24 inch bins,PIE TYPE,2016-09-24,VIRGINIA,,small,,,N,False,160.0
151,BALTIMORE,24 inch bins,PIE TYPE,2017-09-23,MARYLAND,,small,ORANGE,,N,False,200.0
152,BALTIMORE,24 inch bins,PIE TYPE,2017-09-30,MARYLAND,,small,ORANGE,,N,False,195.0
153,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-09-24,MARYLAND,,,WHITE,EACH,N,False,55.0
154,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-09-24,MARYLAND,,,,EACH,N,False,55.0
155,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-09-24,VIRGINIA,,,,EACH,N,False,55.0
156,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-10-01,MARYLAND,,,,EACH,N,False,55.0
157,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-10-01,MARYLAND,,,WHITE,EACH,N,False,55.0
158,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-10-01,VIRGINIA,,,,EACH,N,False,55.0
159,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-10-08,MARYLAND,,,,EACH,N,False,55.0
160,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-10-08,MARYLAND,,,WHITE,EACH,N,False,55.0
161,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-10-08,MARYLAND,,jumbo,,EACH,N,False,55.0
162,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-10-08,MARYLAND,,large,WHITE,EACH,N,False,50.0
163,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-10-08,MARYLAND,,medium,WHITE,EACH,N,False,50.0
164,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-10-08,VIRGINIA,,,,EACH,N,False,55.0
165,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-10-08,VIRGINIA,,jumbo,,EACH,N,False,55.0
166,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-10-15,MARYLAND,,jumbo,,EACH,N,False,55.0
167,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-10-15,MARYLAND,,large,WHITE,EACH,N,False,50.0
168,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-10-15,MARYLAND,,medium,WHITE,EACH,N,False,50.0
169,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-10-15,VIRGINIA,,jumbo,,EACH,N,False,55.0
170,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-10-22,MARYLAND,,jumbo,,EACH,N,False,55.0
171,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-10-22,MARYLAND,,large,WHITE,EACH,N,False,50.0
172,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-10-22,VIRGINIA,,jumbo,,EACH,N,False,55.0
173,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-10-29,MARYLAND,,jumbo,,EACH,N,False,55.0
174,BALTIMORE,24 inch bins,BIG MACK TYPE,2016-10-29,VIRGINIA,,jumbo,,EACH,N,False,55.0
175,BALTIMORE,24 inch bins,BIG MACK TYPE,2017-09-23,MARYLAND,,jumbo,,EACH,N,False,50.0
176,BALTIMORE,24 inch bins,BIG MACK TYPE,2017-09-30,MARYLAND,,jumbo,,EACH,N,False,50.0
177,BALTIMORE,24 inch bins,MIXED HEIRLOOM VARIETIES,2017-09-16,MARYLAND,,,,,N,False,200.0
178,BALTIMORE,24 inch bins,MIXED HEIRLOOM VARIETIES,2017-09-23,MARYLAND,,,,,N,False,240.0
179,BALTIMORE,24 inch bins,MIXED HEIRLOOM VARIETIES,2017-09-30,MARYLAND,,,,,N,False,240.0
180,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-09-24,MARYLAND,,small,,,N,False,18.0
181,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-09-24,MARYLAND,,small,WHITE,,N,False,15.0
182,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-10-01,MARYLAND,,small,,,N,False,18.0
183,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-10-01,MARYLAND,,small,WHITE,,N,False,15.0
184,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-10-01,OHIO,,small,,,N,False,17.0
185,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-10-08,MARYLAND,,small,WHITE,,N,False,15.0
186,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-10-08,MARYLAND,,small,,,N,False,16.5
187,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-10-08,OHIO,,small,,,N,False,16.5
188,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-10-08,VIRGINIA,,small,,,N,False,17.0
189,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-10-15,MARYLAND,,small,,,N,False,15.0
190,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-10-15,MARYLAND,,small,WHITE,,N,False,15.0
191,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-10-15,OHIO,,small,,,N,False,16.5
192,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-10-15,VIRGINIA,,small,,,N,False,17.0
193,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-10-22,MARYLAND,,small,,,N,False,15.0
194,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-10-22,MARYLAND,,small,WHITE,,N,False,15.0
195,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-10-22,OHIO,,small,,,N,False,16.5
196,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-10-22,VIRGINIA,,small,,,N,False,17.0
197,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-10-29,MARYLAND,,small,,,N,False,16.0
198,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-10-29,MARYLAND,,small,WHITE,,N,False,15.0
199,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-10-29,OHIO,,small,,,N,False,16.5
200,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-10-29,VIRGINIA,,small,,,N,False,17.0
201,BALTIMORE,1/2 bushel cartons,MINIATURE FLAT TYPE,2016-11-05,OHIO,,small,,,N,False,16.5
202,BALTIMORE,1/2 bushel cartons,MINIATURE,2017-09-16,MARYLAND,,,ORANGE,,N,False,18.0
203,BALTIMORE,1/2 bushel cartons,MINIATURE,2017-09-23,MARYLAND,,,ORANGE,,N,False,18.0
204,BALTIMORE,1/2 bushel cartons,MINIATURE,2017-09-23,PENNSYLVANIA,,,ORANGE,,N,False,18.0
205,BALTIMORE,1/2 bushel cartons,MINIATURE,2017-09-30,MARYLAND,,,ORANGE,,N,False,18.0
206,BALTIMORE,1/2 bushel cartons,MINIATURE,2017-09-30,PENNSYLVANIA,,,ORANGE,,N,False,18.0
207,BALTIMORE,1/2 bushel cartons,MINIATURE ROUND TYPE,2016-09-24,MARYLAND,,small,,,N,False,15.0
208,BALTIMORE,1/2 bushel cartons,MINIATURE ROUND TYPE,2016-10-01,MARYLAND,,small,,,N,False,15.0
209,BALTIMORE,1/2 bushel cartons,MINIATURE ROUND TYPE,2016-10-08,MARYLAND,,small,,,N,False,15.0
210,BOSTON,36 inch bins,HOWDEN TYPE,2016-09-24,CANADA,QUEBEC,extra jumbo,ORANGE,,N,False,172.5
211,BOSTON,36 inch bins,HOWDEN TYPE,2016-09-24,CANADA,QUEBEC,jumbo,ORANGE,,N,False,172.5
212,BOSTON,36 inch bins,HOWDEN TYPE,2016-09-24,CANADA,QUEBEC,extra large,ORANGE,,N,False,172.5
213,BOSTON,36 inch bins,HOWDEN TYPE,2016-09-24,CANADA,ONTARIO,extra large,ORANGE,,N,False,172.5
214,BOSTON,36 inch bins,HOWDEN TYPE,2016-09-24,CANADA,ONTARIO,large,ORANGE,,N,False,167.5
215,BOSTON,36 inch bins,HOWDEN TYPE,2016-09-24,CANADA,QUEBEC,large,ORANGE,,N,False,166.25
216,BOSTON,36 inch bins,HOWDEN TYPE,2016-09-24,CANADA,QUEBEC,medium large,ORANGE,,N,False,152.5
217,BOSTON,36 inch bins,HOWDEN TYPE,2016-09-24,CANADA,QUEBEC,medium,ORANGE,,N,False,150.0
218,BOSTON,36 inch bins,HOWDEN TYPE,2016-09-24,CANADA,QUEBEC,small,ORANGE,,N,False,145.0
219,BOSTON,36 inch bins,HOWDEN TYPE,2016-09-24,MASSACHUSETTS,,jumbo,ORANGE,,N,False,218.75
220,BOSTON,36 inch bins,HOWDEN TYPE,2016-09-24,MASSACHUSETTS,,extra large,ORANGE,,N,False,201.25
221,BOSTON,36 inch bins,HOWDEN TYPE,2016-09-24,MASSACHUSETTS,,large,ORANGE,,N,False,201.25
222,BOSTON,36 inch bins,HOWDEN TYPE,2016-09-24,MASSACHUSETTS,,medium large,ORANGE,,N,False,196.25
223,BOSTON,36 inch bins,HOWDEN TYPE,2016-09-24,MASSACHUSETTS,,medium,ORANGE,,N,False,193.75
224,BOSTON,36 inch bins,HOWDEN TYPE,2016-09-24,MASSACHUSETTS,,small,ORANGE,,N,False,191.25
225,BOSTON,36 inch bins,HOWDEN TYPE,2016-09-24,MICHIGAN,,jumbo,ORANGE,,N,False,177.5
226,BOSTON,36 inch bins,HOWDEN TYPE,2016-09-24,MICHIGAN,,extra large,ORANGE,,N,False,176.25
227,BOSTON,36 inch bins,HOWDEN TYPE,2016-09-24,PENNSYLVANIA,,extra large,ORANGE,,N,False,150.0
228,BOSTON,36 inch bins,HOWDEN TYPE,2016-09-24,PENNSYLVANIA,,large,ORANGE,,N,False,150.0
229,BOSTON,36 inch bins,HOWDEN TYPE,2016-10-01,CANADA,QUEBEC,extra jumbo,ORANGE,,N,False,172.5
230,BOSTON,36 inch bins,HOWDEN TYPE,2016-10-01,CANADA,QUEBEC,jumbo,ORANGE,,N,False,172.5
231,BOSTON,36 inch bins,HOWDEN TYPE,2016-10-01,CANADA,ONTARIO,extra large,ORANGE,,N,False,172.5
232,BOSTON,36 inch bins,HOWDEN TYPE,2016-10-01,CANADA,QUEBEC,extra large,ORANGE,,N,False,172.5
233,BOSTON,36 inch bins,HOWDEN TYPE,2016-10-01,CANADA,ONTARIO,large,ORANGE,,N,False,167.5
234,BOSTON,36 inch bins,HOWDEN TYPE,2016-10-01,CANADA,QUEBEC,large,ORANGE,,N,False,166.25
235,BOSTON,36 inch bins,HOWDEN TYPE,2016-10-01,CANADA,QUEBEC,medium large,ORANGE,,N,False,152.5
236,BOSTON,36 inch bins,HOWDEN TYPE,2016-10-01,CANADA,QUEBEC,medium,ORANGE,,N,False,150.0
237,BOSTON,36 inch bins,HOWDEN TYPE,2016-10-01,CANADA,QUEBEC,small,ORANGE,,N,False,145.0
