BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,PELHAM PARKWAY SOUTH,29 COMMERCIAL GARAGES,4,4209,1,,G1,1864 EASTCHESTER ROAD,,10461,0,1,1,"7,500",1800,1957,4,G1,$   - 0,01/01/2019
2,PELHAM PARKWAY SOUTH,31 COMMERCIAL VACANT LAND,4,4203,81,,V1,N/A MORRIS PARK AVENUE,,0,0,0,0,60,0,0,4,V1,$   - 0,01/01/2019
2,PELHAM PARKWAY SOUTH,32 HOSPITAL AND HEALTH FACILITIES,4,4205,3,,I1,1301 MORRIS PARK AVENUE,,10461,0,1,1,"215,194",217000,2008,4,I1,$   - 0,01/01/2019
2,PELHAM PARKWAY SOUTH,32 HOSPITAL AND HEALTH FACILITIES,4,4205,30,,I1,1225 MORRIS PARK AVENUE,,10461,0,0,0,"220,762",464700,1949,4,I1,$   - 0,01/01/2019
2,PELHAM PARKWAY SOUTH,32 HOSPITAL AND HEALTH FACILITIES,4,4205,55,,I1,1410 PELHAM PARKWAY SOUTH,,10461,0,0,0,"42,855",120650,1965,4,I1,$   - 0,01/01/2019
2,PELHAM PARKWAY SOUTH,33 EDUCATIONAL FACILITIES,4,4205,2,,W9,1925 EASTCHESTER ROAD,,10461,0,2,2,"240,008",959880,1972,4,W9,$   - 0,01/01/2019
2,PELHAM PARKWAY SOUTH,41 TAX CLASS 4 - OTHER,4,4205,40,,Z9,2025 EASTCHESTER ROAD,,10461,0,0,0,"222,539",35600,1949,4,Z9,$   - 0,01/01/2019
2,SCHUYLERVILLE/PELHAM BAY,14 RENTALS - 4-10 UNIT,2A,4166,4,,S3,2949 MIDDLETOWN ROAD,,10461,3,1,4,"4,858",4200,1924,2,S3,$   - 0,01/01/2019
2,WESTCHESTER,29 COMMERCIAL GARAGES,4,4226,419,,G1,1842 EASTCHESTER ROAD,,10461,0,1,1,"16,525",2360,1949,4,G1,$   - 0,01/01/2019
2,WESTCHESTER,31 COMMERCIAL VACANT LAND,4,4226,420,,V6,1848 EASTCHESTER ROAD,,10461,0,0,0,"3,519",0,0,4,V6,$   - 0,01/01/2019
2,WESTCHESTER,31 COMMERCIAL VACANT LAND,4,4226,422,,V6,1850 EASTCHESTER ROAD,,10461,0,0,0,"4,156",0,0,4,V6,$   - 0,01/01/2019
2,WILLIAMSBRIDGE,03 THREE FAMILY DWELLINGS,1,4820,16,,C0,3969 CARPENTER AVE,,10466,3,0,3,"2,203",3471,2005,1,C0,$   - 0,01/01/2019
3,BAY RIDGE,02 TWO FAMILY DWELLINGS,1,5999,5,,S2,8117 FIFTH AVENUE,,11209,2,1,3,"2,469",3600,1931,1,S2,$   - 0,01/01/2019
3,BAY RIDGE,02 TWO FAMILY DWELLINGS,1,5999,22,,B1,544 81ST STREET,,11209,2,0,2,"2,633",2176,1930,1,B1,$   - 0,01/01/2019
3,BOROUGH PARK,07 RENTALS - WALKUP APARTMENTS,2A,5639,30,,C2,1043 50TH STREET,,11219,6,0,6,"3,201",6006,1931,2,C2,$   - 0,01/01/2019
3,CANARSIE,22 STORE BUILDINGS,4,8001,1,,K1,8023 FLATLANDS AVENUE,,11236,0,3,3,"4,600",3838,1963,4,K1,$   - 0,01/01/2019
3,CANARSIE,22 STORE BUILDINGS,4,8001,4,,K1,8015 FLATLANDS AVENUE,,11236,0,3,3,"3,381",2650,1963,4,K1,$   - 0,01/01/2019
3,CANARSIE,22 STORE BUILDINGS,4,8001,6,,K1,8009 FLATLANDS AVENUE,,11236,0,3,3,"3,200",2680,1963,4,K1,$   - 0,01/01/2019
3,CANARSIE,22 STORE BUILDINGS,4,8001,8,,K1,8001 FLATLANDS AVENUE,,11236,0,4,4,"4,800",4069,1965,4,K1,$   - 0,01/01/2019
3,CROWN HEIGHTS,02 TWO FAMILY DWELLINGS,1,1244,74,,B9,1140 PARK PLACE,,11213,2,0,2,"1,280",2016,1899,1,B9,$   - 0,01/01/2019
3,FLATBUSH-NORTH,02 TWO FAMILY DWELLINGS,1,4794,71,,B1,561 MAPLE STREET,,11203,2,0,2,"2,000",2120,1901,1,B1,$   - 0,01/01/2019
3,MADISON,01 ONE FAMILY DWELLINGS,1,6809,54,,A1,2601 AVENUE R,,11229,1,0,1,"3,333",1262,1925,1,A1,$   - 0,01/01/2019
3,MIDWOOD,22 STORE BUILDINGS,4,6707,52,,K1,1403 AVENUE J,,11230,0,2,2,"4,000",4000,1915,4,K1,$   - 0,01/01/2019
3,OCEAN PARKWAY-NORTH,01 ONE FAMILY DWELLINGS,1,5495,801,,A9,4832 BAY PARKWAY,,11230,1,0,1,"6,800",1325,1930,1,A9,"$   550,000",01/01/2019
3,WILLIAMSBURG-EAST,03 THREE FAMILY DWELLINGS,1,2731,21,,C0,40 RICHARDSON STREET,,11211,3,0,3,"2,500",2250,1899,1,C0,$   - 0,01/01/2019
3,WILLIAMSBURG-SOUTH,13 CONDOS - ELEVATOR APARTMENTS,2,2135,1707,,R4,"40 SOUTH 9TH STREET, 3B",3B,11249,1,0,1,"4,020",1390,2013,2,R4,$   - 0,01/01/2019
4,ASTORIA,07 RENTALS - WALKUP APARTMENTS,2A,869,2,,C3,2403 DITMARS BOULEVARD,,11105,4,0,4,"2,500",2000,1931,2,C3,$   - 0,01/01/2019
4,BAYSIDE,01 ONE FAMILY DWELLINGS,1,7491,24,,A3,222-66 BIRMINGTON PARKWAY,,11364,1,0,1,"6,000",2655,1955,1,A3,$   - 0,01/01/2019
4,ELMHURST,02 TWO FAMILY DWELLINGS,1,2459,23,,B1,51-16 71ST STREET,,11377,2,0,2,"1,980",1840,1940,1,B1,$   - 0,01/01/2019
4,FLORAL PARK,03 THREE FAMILY DWELLINGS,1,8796,28,,C0,84-05 266TH STREET,,11001,3,0,3,"1,900",2536,1960,1,C0,$   - 0,01/01/2019
4,FLORAL PARK,03 THREE FAMILY DWELLINGS,1,8796,29,,C0,84-03 266TH STREET,,11001,3,0,3,"1,900",2536,1960,1,C0,$   - 0,01/01/2019
4,FOREST HILLS,22 STORE BUILDINGS,4,2169,1,,K1,63-53 108TH STREET,,11375,0,11,11,"28,000",17443,1954,4,K1,$   - 0,01/01/2019
4,FOREST HILLS,22 STORE BUILDINGS,4,2170,1,,K1,64-01 108TH STREET,,11375,0,11,11,"26,000",17037,1951,4,K1,$   - 0,01/01/2019
4,MASPETH,03 THREE FAMILY DWELLINGS,1,2705,66,,C0,60-44 56TH DRIVE,,11378,3,0,3,"2,500",2460,1930,1,C0,$   - 0,01/01/2019
4,MIDDLE VILLAGE,01 ONE FAMILY DWELLINGS,1,2914,49,,A5,60-31 83 STREET,,11379,1,0,1,"1,800",1224,1950,1,A5,$   - 0,01/01/2019
4,MIDDLE VILLAGE,02 TWO FAMILY DWELLINGS,1,2826,28,,B1,58-52 79TH STREET,,11379,2,0,2,"2,520",1683,1950,1,B1,$   - 0,01/01/2019
4,MIDDLE VILLAGE,02 TWO FAMILY DWELLINGS,1,2901,32,,B3,84-27 ELIOT AVENUE,,11379,2,0,2,"1,566",1870,1940,1,B3,$   - 0,01/01/2019
4,MIDDLE VILLAGE,07 RENTALS - WALKUP APARTMENTS,2A,3795,12,,C3,69-23 76 ST,,11379,4,0,4,"3,117",3000,1925,2,C3,$   - 0,01/01/2019
4,MIDDLE VILLAGE,29 COMMERCIAL GARAGES,4,3795,5,,G1,69-37 76 ST,,11379,0,1,1,"3,742",3700,1980,4,G1,$   - 0,01/01/2019
4,MIDDLE VILLAGE,29 COMMERCIAL GARAGES,4,3795,6,,G1,69-31 76 ST,,11379,0,1,1,"5,000",3800,1960,4,G1,$   - 0,01/01/2019
4,QUEENS VILLAGE,01 ONE FAMILY DWELLINGS,1,7918,72,,A1,80-23 232ND STREET,,11427,1,0,1,"4,000",2001,1940,1,A1,"$   200,000",01/01/2019
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS,2A,3392,21,,C2,1916 GROVE STREET,,11385,6,0,6,"2,500",5175,1915,2,C2,$   - 0,01/01/2019
4,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS,1,12174,26,,A1,111-33 158TH STREET,,11433,1,0,1,"2,500",1280,1925,1,A1,$   - 0,01/01/2019
5,WEST NEW BRIGHTON,02 TWO FAMILY DWELLINGS,1,231,39,,B9,1051 FOREST AVENUE,,10310,2,0,2,"3,440",1956,2018,1,B9,$   - 0,01/01/2019
1,CHELSEA,13 CONDOS - ELEVATOR APARTMENTS,2,691,1130,,R4,"505 WEST 19TH STREET, 7D",7D,10011,1,0,1,"18,975",1077,2013,2,R4,"$   2,000,000",01/02/2019
1,MIDTOWN EAST,10 COOPS - ELEVATOR APARTMENTS,2,1347,18,,D4,"345 EAST 54TH ST, 3B",,10022,0,0,0,0,0,1960,2,D4,"$   330,000",01/02/2019
1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS,2,1491,62,,D4,"16 EAST 80TH STREET, 2A",,10075,0,0,0,0,0,1925,2,D4,"$   600,000",01/02/2019
1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS,2,1536,1171,,R4,"1601 3 AVENUE, 17E",17E,10128,1,0,1,0,450,0,2,R4,$   - 0,01/02/2019
1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS,2,1554,1116,,R4,"1760 2 AVENUE, 25C",25C,10128,1,0,1,0,2047,0,2,R4,$   - 0,01/02/2019
1,UPPER WEST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1167,1272,,R4,"235 WEST 75 STREET, 803",8S,10023,1,0,1,"28,335",545,1901,2,R4,"$   2,997,613",01/02/2019
1,UPPER WEST SIDE (59-79),13 CONDOS - ELEVATOR APARTMENTS,2,1171,2200,,R4,"240 RIVERSIDE BOULEVARD, 4 F",4 F,10069,1,0,1,0,827,2004,2,R4,"$   1,250,000",01/02/2019
1,UPPER WEST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS,2,1213,1161,,R4,"127 WEST 82ND STREET, 3B",3B,10024,1,0,1,0,391,1912,2,R4,"$   1,955,000",01/02/2019
1,UPPER WEST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS,2,1213,1185,,R4,"127 WEST 82ND STREET, 2E",2E,10024,1,0,1,0,453,1912,2,R4,"$   1,955,000",01/02/2019
2,CASTLE HILL/UNIONPORT,02 TWO FAMILY DWELLINGS,1,3815,41,,B2,2262 CHATTERTON AVENUE,,10472,2,0,2,"4,129",2112,1930,1,B2,"$   575,000",01/02/2019
2,KINGSBRIDGE HTS/UNIV HTS,10 COOPS - ELEVATOR APARTMENTS,2,3226,53,,D4,"6 FORDHAM HILL OVAL, 6D",,10468,0,0,0,0,0,1950,2,D4,"$   180,000",01/02/2019
2,MORRISANIA/LONGWOOD,02 TWO FAMILY DWELLINGS,1,2687,22,,B2,882 EAST 156TH STREET,,10455,2,0,2,"2,030",2236,1901,1,B2,$   - 0,01/02/2019
2,MOTT HAVEN/PORT MORRIS,07 RENTALS - WALKUP APARTMENTS,2,2301,31,,C7,387 EAST 138TH STREET,,10454,10,2,12,"2,617",9155,1931,2,C7,$   - 0,01/02/2019
2,PELHAM PARKWAY SOUTH,01 ONE FAMILY DWELLINGS,1,4210,19,,A1,1260 RHINELANDER AVE,,10461,1,0,1,"3,500",2043,1925,1,A1,"$   810,000",01/02/2019
2,SOUNDVIEW,03 THREE FAMILY DWELLINGS,1,3772,77,,C0,1232 WHEELER AVENUE,,10472,3,0,3,"2,500",3600,1935,1,C0,"$   780,000",01/02/2019
2,THROGS NECK,02 TWO FAMILY DWELLINGS,1,5599,26,,B1,256 ROBINSON AVE,,10465,2,0,2,"1,967",2280,1955,1,B1,"$   377,000",01/02/2019
2,THROGS NECK,41 TAX CLASS 4 - OTHER,4,5611,50,,Z9,N/A YZNAGA PLACE,,0,0,0,0,"5,716",0,0,4,Z9,"$   195,000",01/02/2019
2,THROGS NECK,41 TAX CLASS 4 - OTHER,4,5611,149,,Z9,N/A YZNAGA PLACE,,0,0,0,0,"4,062",0,0,4,Z9,$   - 0,01/02/2019
2,WAKEFIELD,01 ONE FAMILY DWELLINGS,1,5094,46,,A5,4415 BAYCHESTER,,10466,1,0,1,"1,574",1836,1960,1,A5,$   - 0,01/02/2019
3,BAY RIDGE,02 TWO FAMILY DWELLINGS,1,5989,68,,B3,441 81ST STREET,,11209,2,0,2,"2,000",2300,1905,1,B3,"$   1,200,000",01/02/2019
3,BAY RIDGE,02 TWO FAMILY DWELLINGS,1,6028,38,,B2,674 84TH STREET,,11228,2,0,2,"2,000",2552,1910,1,B2,$   - 0,01/02/2019
3,BAY RIDGE,03 THREE FAMILY DWELLINGS,1,5928,26,,C0,248 74TH STREET,,11209,3,0,3,"1,933",2821,1965,1,C0,$   - 0,01/02/2019
3,BEDFORD STUYVESANT,08 RENTALS - ELEVATOR APARTMENTS,2,2016,12,,D6,1068 FULTON STREET,,11238,28,1,29,"5,900",26310,2017,2,D6,"$   1,500,000",01/02/2019
3,BEDFORD STUYVESANT,08 RENTALS - ELEVATOR APARTMENTS,2,2016,14,,D6,1072 FULTON STREET,,11238,13,1,14,"2,904",12381,2017,2,D6,"$   1,500,000",01/02/2019
3,BEDFORD STUYVESANT,14 RENTALS - 4-10 UNIT,2A,1854,70,,S3,1389 FULTON STREET,,11216,3,1,4,"1,320",4361,1910,2,S3,$   - 0,01/02/2019
3,BENSONHURST,02 TWO FAMILY DWELLINGS,1,6855,64,,B1,2335 85TH STREET,,11214,2,0,2,"3,000",3740,1925,1,B1,$   - 0,01/02/2019
3,BERGEN BEACH,03 THREE FAMILY DWELLINGS,1,8412,41,,C0,7114 AVENUE T,,11234,3,0,3,"3,275",3525,1960,1,C0,"$   925,000",01/02/2019
3,BOROUGH PARK,02 TWO FAMILY DWELLINGS,1,5298,74,,B1,1311 40TH STREET,,11218,2,0,2,"1,903",2176,1925,1,B1,$   - 0,01/02/2019
3,BOROUGH PARK,02 TWO FAMILY DWELLINGS,1,5669,24,,B1,1246 53RD STREET,,11219,2,0,2,"2,003",2224,1910,1,B1,$   - 0,01/02/2019
3,BOROUGH PARK,03 THREE FAMILY DWELLINGS,1,5612,69,,C0,1425 45TH STREET,,11219,3,0,3,"2,003",4649,1910,1,C0,$   - 0,01/02/2019
3,BUSH TERMINAL,07 RENTALS - WALKUP APARTMENTS,2B,821,54,,C1,"259 55TH STREET, 8",8,11220,8,0,8,"3,506",8160,1931,2,C1,"$   3,760,000",01/02/2019
3,BUSHWICK,02 TWO FAMILY DWELLINGS,1,3369,123,,B2,1178 MADISON STREET,,11221,2,0,2,"1,910",2850,1990,1,B2,$   - 0,01/02/2019
3,BUSHWICK,03 THREE FAMILY DWELLINGS,1,3285,76,,C0,1165 GREENE AVE,,11221,3,0,3,"2,000",2700,1901,1,C0,"$   225,000",01/02/2019
3,CLINTON HILL,02 TWO FAMILY DWELLINGS,1,1945,52,,S2,143 GREENE AVE,,11238,2,1,3,"1,200",2580,1960,1,S2,$   - 0,01/02/2019
3,CLINTON HILL,02 TWO FAMILY DWELLINGS,1,2018,12,,B1,4 LEFFERTS PLACE,,11238,2,0,2,"1,649",3700,2009,1,B1,"$   3,425,000",01/02/2019
3,CROWN HEIGHTS,07 RENTALS - WALKUP APARTMENTS,2A,1383,51,,C2,1271 LINCOLN PLACE,,11213,6,0,6,"3,793",7308,1908,2,C2,$   - 0,01/02/2019
3,CROWN HEIGHTS,13 CONDOS - ELEVATOR APARTMENTS,2,1201,1008,,R4,"1311 PACIFIC STREET, 206",206,11216,1,0,1,0,623,0,2,R4,"$   590,000",01/02/2019
3,CROWN HEIGHTS,44 CONDO PARKING,4,1201,1033,,RP,"1311 PACIFIC STREET, P-A",P-A,11216,0,1,1,0,0,0,4,RP,"$   590,000",01/02/2019
3,DYKER HEIGHTS,03 THREE FAMILY DWELLINGS,1,6154,58,,C0,1149 70 STREET,,11228,3,0,3,"2,367",3025,1965,1,C0,$   - 0,01/02/2019
3,EAST NEW YORK,02 TWO FAMILY DWELLINGS,1,3995,24,,B2,302 SCHENCK AVE,,11207,2,0,2,"2,500",1800,1899,1,B2,"$   321,000",01/02/2019
3,EAST NEW YORK,02 TWO FAMILY DWELLINGS,1,4062,37,,B1,594 WARWICK ST,,11207,2,0,2,"2,000",1810,1920,1,B1,$   - 0,01/02/2019
3,EAST NEW YORK,03 THREE FAMILY DWELLINGS,1,4518,1,,C0,1430 LORING AVENUE,,11208,3,0,3,"2,820",2940,2005,1,C0,$   - 0,01/02/2019
3,EAST NEW YORK,07 RENTALS - WALKUP APARTMENTS,2A,3826,5,,C3,593 WYONA STREET,,11207,4,0,4,"2,300",3588,1930,2,C3,"$   350,000",01/02/2019
3,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS,1,5212,69,,A1,469 E 25TH ST,,11226,1,0,1,"4,000",2680,1899,1,A1,"$   125,000",01/02/2019
3,FLATBUSH-CENTRAL,02 TWO FAMILY DWELLINGS,1,6689,19,,B2,1430 GLENWOOD ROAD,,11230,2,0,2,"5,625",2987,1910,1,B2,"$   1,760,000",01/02/2019
3,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,1,7651,68,,A1,1412 EAST 34TH STREET,,11210,1,0,1,"2,000",1348,1925,1,A1,$   - 0,01/02/2019
3,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,1,7930,121,,A5,5521 WHITTY LANE,,11203,1,0,1,"1,710",1872,1940,1,A5,"$   620,000",01/02/2019
3,FLATBUSH-LEFFERTS GARDEN,13 CONDOS - ELEVATOR APARTMENTS,2,5043,1011,,R4,"195 HAWTHORNE STREET, 4E",4E,11225,1,0,1,0,836,2016,2,R4,"$   804,418",01/02/2019
3,FLATBUSH-LEFFERTS GARDEN,44 CONDO PARKING,4,5043,1016,,RP,"195 HAWTHORNE STREET, PKG 2",PKG 2,11225,0,1,1,0,0,2016,4,RP,"$   804,418",01/02/2019
3,FLATBUSH-NORTH,07 RENTALS - WALKUP APARTMENTS,2A,4799,18,,C2,574 MAPLE STREET,,11203,6,0,6,"2,500",6000,1931,2,C2,"$   1,450,000",01/02/2019
3,GRAVESEND,02 TWO FAMILY DWELLINGS,1,6631,28,,B1,1646 DAHILL ROAD,,11223,2,0,2,"2,000",2048,1925,1,B1,"$   1,090,000",01/02/2019
3,GRAVESEND,13 CONDOS - ELEVATOR APARTMENTS,2,6381,1037,,R4,"8629 BAY PARKWAY, 6B",6B,11214,1,0,1,"11,600",1010,1956,2,R4,"$   860,421",01/02/2019
3,GRAVESEND,44 CONDO PARKING,4,6381,1045,,RP,"8629 BAY PARKWAY, PS6",PS6,11214,0,1,1,0,0,1956,4,RP,"$   860,421",01/02/2019
3,GRAVESEND,47 CONDO NON-BUSINESS STORAGE,4,6381,1058,,RS,"8629 BAY PARKWAY, BB1",BB1,11214,0,1,1,0,0,1956,4,RS,"$   860,421",01/02/2019
3,MADISON,01 ONE FAMILY DWELLINGS,1,6783,35,,A1,1786 EAST 21ST STREET,,11229,1,0,1,"4,000",2698,1930,1,A1,$   - 0,01/02/2019
3,MADISON,01 ONE FAMILY DWELLINGS,1,6806,72,,A1,1747 EAST 23RD STREET,,11229,1,0,1,"4,000",1932,1930,1,A1,"$   1,150,000",01/02/2019
3,MIDWOOD,01 ONE FAMILY DWELLINGS,1,6761,42,,A1,1582 EAST 15TH STREET,,11230,1,0,1,"2,000",1722,1920,1,A1,"$   836,500",01/02/2019
3,MILL BASIN,01 ONE FAMILY DWELLINGS,1,8607,85,,A2,11 DAKOTA PLACE,,11234,1,0,1,"4,643",2300,1960,1,A2,$   - 0,01/02/2019
3,OCEAN PARKWAY-NORTH,01 ONE FAMILY DWELLINGS,1,5419,27,,A5,114 WEBSTER AVE,,11230,1,0,1,"2,034",1440,1915,1,A5,$   - 0,01/02/2019
3,OLD MILL BASIN,02 TWO FAMILY DWELLINGS,1,7875,45,,B1,5006 AVENUE M,,11234,2,0,2,"1,600",1800,1920,1,B1,"$   625,000",01/02/2019
3,PARK SLOPE,12 CONDOS - WALKUP APARTMENTS,2,1058,1016,,R2,"180 STERLING PLACE, 16",16,11217,1,0,1,"4,000",587,1915,2,R2,$   - 0,01/02/2019
3,PARK SLOPE SOUTH,02 TWO FAMILY DWELLINGS,1,1023,27,,B1,372 11TH STREET,,11215,2,0,2,"1,833",2148,1901,1,B1,"$   2,720,000",01/02/2019
3,PARK SLOPE SOUTH,03 THREE FAMILY DWELLINGS,1,1049,14,,C0,300 15TH STREET,,11215,3,0,3,"1,675",2028,1899,1,C0,"$   2,190,000",01/02/2019
3,SUNSET PARK,02 TWO FAMILY DWELLINGS,1,808,31,,B1,558 52ND STREET,,11220,2,0,2,"2,003",2080,1910,1,B1,$   - 0,01/02/2019
3,SUNSET PARK,05 TAX CLASS 1 VACANT LAND,1B,728,34,,V0,364 43RD STREET,,11232,0,0,0,"2,504",0,0,1,V0,"$   1,250,000",01/02/2019
4,ASTORIA,02 TWO FAMILY DWELLINGS,1,516,18,,B2,12-17 30TH DRIVE,,11102,2,0,2,"3,056",1740,1915,1,B2,$   10,01/02/2019
4,ASTORIA,13 CONDOS - ELEVATOR APARTMENTS,2,905,1194,,R4,"25-40 SHORE BOULEVARD, 9S",9S,11102,1,0,1,0,623,1989,2,R4,"$   520,000",01/02/2019
4,BAYSIDE,01 ONE FAMILY DWELLINGS,1,7378,4,,A1,201-08 50TH AVENUE,,11364,1,0,1,"3,000",1396,1930,1,A1,"$   955,000",01/02/2019
4,BAYSIDE,10 COOPS - ELEVATOR APARTMENTS,2,7474,50,,D4,"220-55 46TH AVENUE, 10X",,11361,0,0,0,0,0,1961,2,D4,"$   395,000",01/02/2019
4,BRIARWOOD,02 TWO FAMILY DWELLINGS,1,9722,37,,B2,86-38 144TH STREET,,11435,2,0,2,"2,700",1720,1920,1,B2,"$   710,000",01/02/2019
4,CORONA,03 THREE FAMILY DWELLINGS,1,1950,57,,C0,57-38 GRANGER STREET,,11368,3,0,3,"2,000",2920,1969,1,C0,$   - 0,01/02/2019
4,EAST ELMHURST,01 ONE FAMILY DWELLINGS,1,1651,22,,A1,25-32 HUMPHREYS STREET,,11369,1,0,1,"3,897",1946,1930,1,A1,$   - 0,01/02/2019
4,ELMHURST,01 ONE FAMILY DWELLINGS,1,2882,16,,A5,85-11 57 ROAD,,11373,1,0,1,"1,800",1260,1935,1,A5,"$   820,000",01/02/2019
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5229,13,,A0,140-38 POPLAR AVE,,11355,1,0,1,"4,000",1733,1945,1,A0,$   - 0,01/02/2019
4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS,1,5251,66,,A1,3348 167TH ST,,11358,1,0,1,"4,000",1402,1935,1,A1,$   - 0,01/02/2019
